FSC-A	FSC-H	SSC-A	<PE-A>: JAK1	<PerCP-Cy5-5-A>: CD25	<Pacific Blue-A>: pSTAT5	<APC-A>: STAT5
60928	60544	1.06175995e5	7156.7583	13672.3174	38704.207	9437.03418
55744	52416	1.06752002e5	8763.52637	9978.97754	28178.5781	12546.1582
39424	31296	86784	4513.21143	6303.08691	43289.8711	8628.89844
28288	22144	66944	4909.26123	11865.4199	18186.875	7901.68457
76672	74752	1.08159995e5	4967.35889	13636.3828	12478.3662	13127.3916
43200	36672	74944	3394.64355	4743.96484	19025.252	11234.8936
35008	27712	90112	5031.86084	13949.6064	16702.9277	9192.30078
27328	21376	88640	4837.56738	10153.0908	13556.1943	6549.63379
81088	78208	86016	3820.59741	5018.36084	41868.5742	14311.7598
64384	62464	1.32351995e5	7561.13281	25352.6914	31033.4492	12883.4717
68096	67968	82944	2995.02319	8205.22949	13655.7432	7621.29102
20544	15872	68672	5756.24512	10096.0771	28272.7949	5011.12256
55872	46400	98688	5732.98877	13620.0039	17684.4414	10991.0537
68992	63552	1.02400005e5	5688.73145	19379.9316	32899.8047	18172.8398
93440	87616	85952	5064.50049	7646.91797	27458.9414	6727.95898
74368	71360	93120	5928.97314	10321.1934	2052.29248	5616.76123
39936	33344	1.31711996e5	7200.2207	17364.6152	51557.4609	10744.4697
55744	52672	76480	4905.58203	3979.91699	25475.7324	9732.70215
51520	48192	78976	4984.86572	8503.67969	3755.9043	12167.7773
56256	52288	1.26271999e5	9447.30664	18681.6094	34146.2227	13086.2891
46144	45696	71808	1686.20361	3329.92383	6741.60791	5863.88428
41728	36608	65152	4811.55176	10719.9219	882.239746	6080.76221
58752	46016	1.37663996e5	5501.5835	10880.5186	19792.377	18437.4844
47936	43840	94272	7274.77393	11042.2285	22905.3184	6948.16406
55808	47040	1.23264003e5	9267.94043	22503.9805	22980.9629	8395.6416
48128	36800	88704	4138.34473	10725.6494	6113.37256	14448.5146
44736	36480	92352	6128.70117	16859.0332	18993.1309	9203.32715
66304	61888	92608	5076.06934	14914.0039	9219.2832	8993.19531
20992	16256	94208	5481.78662	12014.2441	26521.8711	8164.09424
85568	77568	88384	3759.2041	8135.46533	22071.1504	6430.20605
46976	46144	75904	4045.05811	12464.8135	649.543701	6714.11182
